lastname,firstname,screenname,user_id
Hocker,Gero Clemens,gerohocker,966707365893558273
Gumnior,Lena Maria,lgumnior,1123920998942822402
Ciftci,Mizgin,mizginciftci1,1409819250273964037
Büttinghaus,Carsten,c_buetti,1145717354363531264
Klingbeil,Lars,larsklingbeil,16255941
Künzle,Claus Alexander,derblaueclaus,114544941
Körlin,Volker Hans Markus,vkorlin,1424094512880787464
Kopatz,Michael,oekoroutine,897849118072209408
Grosse-Brömer,Michael,mgrossebroemer,574424501
Stadler,Svenja,stadler_svenja,3337459024
Ruschmeyer,Nino,ninoruschmeyer,1112989294854111232
Weippert,Nadja,nadjaweippert,820596228564152320
Blankenburg,Jakob,jakobbla,88495338
Verlinden,Julia Maria Kornelia,julia_verlinden,1475734592
Peters,Thorben,petersthorben,1408173283791491081
Hennig,Anke,ankehennigspd,1283381888372047872
Seestern-Pauly,Matthias,mseesternpauly,1006099793888841729
Polat,Filiz,filizgreen,194535434
Ali,Nemir,nemir_ali_os,1298741420430327808
Klein,Thomas,thomaskleinos,1329466778473336835
Reichinnek,Heidi,heidireichinnek,3417281013
Beermann,Maik,maikbeermann,569257486
Völlers,Marja-Liisa,marjavoellers,1009457791554281473
Born,Anton Marcus Hendrikus,antonvandenborn,1348891903174062080
Althaus,Thorsten,thorstenalthau2,1218949372576256000
Keul,Katja,katjakeul,959105406416162823
Dahms,Lennart Jan,lennartdahms,3014730448
Wieking,Katharina Johanna,00katey00,1045759023159681024
König,Jörn Harald,joernkoenigafd,960974630709284864
Michaelsen,Swantje Henrike,swantjemichael1,1086178318230188033
Rieck-Vogt,Diana,rieckvogt,974051154874306560
Fahimi,Yasmin,fahimiyasmin,1038034431385247745
Kindler,Sven-Christian,sven_kindler,17343047
Bokah Tamejani,Parwaneh Tayabeh,pbokah,852992690820182017
Aggelidis,Grigorios,aggelidis_fdp,976107205849206784
Braedt,Michael,michael_braedt,810136483214610433
Otte,Henning Rudolf Helmut,vtdgsprecher,1416388709264633858
Mende,Dirk-Ulrich August Heinrich,dirkulrichmende,1092392602010300417
Schulz,Anja,_anja_schulz,825776827352367104
Ehrhorn,Thomas Ludwig Walter,thomas_ehrhorn,3242322815
Jordan,Markus Erik,m_jordan_gruene,1350735512533938182
Podstawa,Christoph Josef,cpodstawa,1004311251198111744
Heil,Wolfgang-Hubertus,hubertus_heil,15943222
Marzischewski-Drewes,Stefan,marzischewski,796440861169090575
Wulf,Mareike Lotte,mareikewulf,1037791106518409216
Schraps,Johannes,jschraps,1356753444
Klages,Delia Susanne,klagesdelia,1320377238009880576
Limburg,Helge Stefan,helge_limburg,63687144
Marquardt,Stephan,stephanmarquard,1199768856849506304
Kuban,Tilman Moritz,tkuban96,970038451
Zaya,Nadin,nadinzaya1,1225160789939703810
Westphal,Bernd Helmut,berndwestphal4,1071665423140249600
Holtz,Ottmar Wilhelm,owvonholtz,2357675876
Perli,Victor Angelo,victorperli,3350681139
Müller,Carsten,mdbmuller,1322811129635213313
Pantazis,Christos,dr_pantazis,25909814
Merten,Anikó,anikomerten,2490321900
Weber,Frank Markus,frankafdbwg,817059773241847812
Erdmann,Margaux Gerlind Jeanne Hildegard,mjghe,1437728022
Özgür,Alper,alphzgr,2456231110
Weber,Andreas,weberandy,19448687
Mohrs,Falko,falkomohrs,79228932
Krumm,Kristin Erika,kristin_krumm,981464353445728256
Mex,Bernd Hermann,berndmex,1044908065
Kühne,Roy,dr_roy_kuehne,1906911697
Heiligenstadt,Frauke,fheiligenstadt,20715527
Schwede,Jan Henrik,janschwede,1404037910102433794
Kestner,Jens,kestnerjens,916937598232391680
Otte,Karoline,karo_otte,936673325950128128
Brunnemann,Eva-Maria,brunnemaa,832308057988354053
Güntzler,Fritz,fguentzler,779601750789656576
Philippi,Andreas Milan Gerhard,philippispd,1352627969664151553
Kuhle,Konstantin Elias,konstantinkuhle,475275997
Trittin,Jürgen,jtrittin,485751594
Goes,Thomas,thomasegoes,1015307701247729666
Ryglewski,Sarah Janina,ryglewskis,4858227178
Röwekamp,Thomas,tr_bremen,1108680958100848640
Kappert-Gonther,Kirsten,kirstenkappert,955357684013953025
Löhmann,Heinrich,heiner_loehmann,398550240
Redder,Volker,docredder,65658028
Winter,Wiebke,wiebkewinter,2261860334
Achelwilm,Doris,dorisachelwilm,4819478705
Labetzke,Michael,labetzkemichael,1352218136691564544
Akkamis,Gökhan,gokhan_akkamis,1358522179344809985
Steineke,Sebastian,steinekecdu,277006619
Kaufner,Dominik Alexander,dkaufner,2803860936
Mayer,Anja Maria,anja_mayer,866920381
Kowol,Maximilian,kowolmaximilian,2293984977
Koeppen,Jens,jenskoeppen,146376562
Gnauck,Hannes,hannes_gnauck,1325859656015679493
Zierke,Stefan,zierke,64220313
Czok-Alm,Isabelle,isaczokalm,1071528635985788929
Kellner,Michael,mikellner,2221112390
Feiler,Uwe Wolfgang Werner,uwefe,47151012
Storm,Ulrich Helmut,storm_ulrich,1156546642256039936
Fäscher,Ariane,arianefaescher,1371580189000486919
Domscheit-Berg,Anke Margarete,anked,16557497
Tiedemann,Ralf,ralftiedemann21,1126230494
Schumacher,Annemarie,anny_shoe,3006132496
Buder,Sabine,budersabine,1193786896129888256
Günther,Lars,journeberlin,4797199275
Koß,Simona,kosssimona,1359549652199170050
Tiemann,Dietlind Hildegard,dr_tiemann,4818645382
Eichwede,Sonja Katharina,sonjaeichwede,2532432664
Meinhardt,Patrick,meinhardt,16344613
Pichl,Alexandra Juliane,alexandrapichl,1073556453171040256
Ludwig,Saskia,saskialudwigcdu,472261226
Krause,Tim,krau05828265,1161200121587085312
Scholz,Olaf,olafscholz,38150247
Müller,Norbert Carl,norbert_mdb,4265444913
Teuteberg,Linda,lindateuteberg,170964436
Baerbock,Annalena Charlotte Alma,abaerbock,2179010672
Schimke,Jana,janaschimke,728990858
