lastname,firstname,screenname,user_id
Schwartze,Stefan,s_schwartze,1117526742
Teutrine,Jens,jensteutrine,801549587144175616
Schulze,Sebastian Richard,schulze_afd,1604151774
Babenhauserheide,Maik,babman,16690437
Lieberum,Jan,janlieberum,1320639343564935168
Post,Achim Jürgen,achim_p,1117749912
Schäffler,Frank Uwe,f_schaeffler,18189342
Gambir,Schahina,schahinag,1284802020382310400
Sauter,Christian,chr_sauter,997033716324093952
Hemmelgarn,Udo Theodor,udohemmelgarn,849060114388705280
Wagener,Robin Till Nils Johannes,robinwagener,392302434
Haase,Christian,christianhaase6,1601699642
Lange,Klaus,klauslange_afd,1417141658605531138
Riesmeier,Niklas,nikriesmeier,1347887229948067843
Blienert,Burkhard Karl Erich,bublien,864705330554560512
Özmen,Roze,ozmenroze,1203079640514007041
Schlüter,Jörg,joerg_schlueter,1009833904113582081
Helling-Plahr,Katrin,katrinhelling,21267421
Geitz,Andreas,andreasgeitz,2288663038
Dahmen,Janosch,janoschdahmen,16697497
Ziebs,Hartmut,hartmutziebs,151566115
Neumann,Anna Patrizia,anna_p_neumann,1021041111324819456
Jost,Clemens,clemensjost,1381264051678937098
Schütz,Fabian Richard,fabianschtz7,1338031856504201216
Beek,Olaf Karl Wilhelm,olafinderbeek,913327957602693121
Lucks,Max,max_lucks,481428317
Dagdelen,Sevim,sevimdagdelen,139407967
Müntefering,Michelle-Jasmin Gabriele,mi_muentefering,947740210036641793
Dossenbach,Markus,markusdossenbac,959074192707727361
Liedtke,Jacob,liedtke4herne,957382610073915392
Peick,Jens,jenspeick,1348612290250207234
Senga,Roman,sengaroman,860395492227809280
Kurth,Markus,markuskurthmdb,150188536
Huber,Ann-Christin,annihuber,1310162134286970882
Poschmann,Sabine,sabineposchmann,738636568760553472
Löhrer,Frieder Cornelius,fcl56,29405176
Helferich,Matthias,helferich_afd,872422743597346825
Lemke,Sonja Janet,sonjalemke,1146136451542847490
Kaczmarek,Oliver,kaczmarekoliver,231440493
Gülden,Suat Niyazi,suatgldn,709810911259787264
Sacher,Michael,mchlsacher,3294006790
Hilwig,Arnd,arndhilwig,774659323352023040
Thews,Michael Eckardt,michael_thews,409258073
Slunjski,Lucas,lucas_slunjski,2775213693
Kesztyüs,Martin Georg,margkesz,404238396
Kämpfe,Rebekka Maria,rebekkakaempfe,1424993445203021824
Hellmich,Wolfgang,hellmichmdb,786498202832822272
Elsner von Gronow,Gerhard Helmuth Berengar,elsnervongronow,4429947807
Miah,Mohammad Shahabuddin,_smiah_,1378385037536677890
Merz,Joachim-Friedrich Martin Josef,_friedrichmerz,1059395748289232896
Wiese,Dirk,dirkwiesespd,815469233090023424
Cronenberg,Carl-Julius,cjcronenberg,1325126973631455232
Tillmann,Maria Anna Gertrud,tillmannmaria,754924376911384576
Klein,Volkmar,volkmarklein,33043294
Licina-Bode,Luiza,bodeluiza,1398240466395611142
Müller,Guido,guidofliege,110950072
Kraft,Laura Manuela,laura_kraft_,1410671503679574016
Müller,Florian Matthias,florianmm,45370052
Baradari,Nezahat,nbaradari,2773426719
Vogel,Johannes,johannesvogel,15630931
Ersching,Otto,ottoerlued,759667961275777024
Ziemiak,Paul,paulziemiak,288696645
Lugk,Bettina,bettinalugk,1193991990196785157
Stuckmann,Ingo,ingostuckmann,1114681396407283712
Rubach,Philipp Johannes,philipprubach,1290226192595988481
Kleinke,Rüdiger Bernd Alfred,kleinkeruediger,797838406931927040
Richter,Martin Max,fdprichter,1380980496553885699
Korn,Denis,deniskorn,62535980
Neumann,Christoph,neumann_afd,760188355615293440
Treu,Nina Sophie,n_treu,1349320829490880512
Mann,Holger,holgermannle,615488350
Hobusch,René,renehobusch,713049368
Müser,Marie Rose,mariemueser,1352294001328726019
Droese,Siegbert Frank,siegbertdroese,1371088753100476417
Heller,Jessica,jessicahellerle,593904128
Pellmann,Sören,linkepelli,74837812
Sthamer,Nadja,nadjasthamer,1325320336016027648
Piechotta,Paula Louise,paulapiechotta,52318801
Naujok,Edgar,edgar_naujok,791991717717282817
Schramm,Julia Ulrike,_juliaschramm,47728577
Mascheck,Franziska,f_mascheck,744152788746248192
Fischer,Sebastian,sefischer_mei,19150447
Pohle,Markus,markuspohle2,1381134050937729025
Schmidt Ramos,Johannes,ramos_fdp,1373661410228633602
Beese,Karin,karin_beese,320371157
Hilse,Karsten,karstenhilse,757336386668261376
Lay,Caren Nicole,carenlay,21404382
Michel,Susanne Kathrin,kthrn_mchl_spd,1166055765402144771
Schniebel,Dietrich Matthias,schniebel,65298490
Mosler,Lukas,l_mosler,1251464476374728712
Chrupalla,Tino,tino_chrupalla,797137333820784640
Oest,Florian,oestflorian,872537606403350529
Schmidt,Marko,marko_schmidtgr,1331545433571725313
Franke-Wöller,Corinna,corwoeller,882687572648091649
Funke,Fabian,funke_fabian,941607536968519680
Haustein,Nino,ninohaustein,754212192296239104
Maier,Jens,jensmaierafd,916639458409242624
Reichel,Markus,markusreicheldd,1354788176150278146
Kipping,Katja,katjakipping,28066013
Nasr,Rasha,rasha_nasr_,3697025955
Herbst,Torsten,torstenherbst,17561226
Saleh,Kassem Taher,kassem_ts,1162268562481750022
Harlaß,Andreas,harlaandreas,1180903225765105664
Lang,Silvio,langlinke,617140076
Schumann,Stephan,stephanschumann,50779450
Spellerberg,Merle,spellerberg_m,905109355586101248
Hartmann,Stefan,stefanhartlinks,851426912
Geißler,Alexander,a_geiszler,1134864989779562496
Hartewig,Philipp,philipphartewig,817772024697389059
Fränzle,Lea Ursula,lfraenzle,1368611767237156868
Heinrich,Frank,frankheinrich,43959185
Detzner,Tim,detznertim,1375787132745355266
Müller,Detlef,muellerchemnitz,784760007275515904
Müller-Rosentritt,Frank,theliberalfrank,984048002967982080
Köpferl,Karola,koepferl,1308132794053296128
Moncsek,Mike,mike_moncsek,1104304242754494465
Wanderwitz,Marco,wanderwitz,16361044
Bernhardt,Sebastian,sebbib86,1095409002249445376
Kasper,Carlos,caka_keinscheis,1213136273432440832
Herrmann,Bernhard,bherrmann_,1372871859025408002
Dietz,Thomas,tommylukoil,1117821932
Krauß,Alexander,alexanderkrauss,16361049
Bünger,Clara Anne,c_ab_,716220554362150912
Heider,Silvio,erzsocial,1224680935611949056
Harzer,Ulrike,harzerulrike,1238937177003888646
Walter,Sebastian,sebastianwaiter,591671888
Moosdorf,Matthias,mmoosdorf,50578509
Körber,Carsten,carstenkoerber,1362372381814231041
Tippelt,Nico,tippelt21,53369932
Magwas,Yvonne,yvonnemagwas,3852561082
Höfer,Johannes,hanneshoefer,943962558
Ludwig,André,berglas5,2812915821
Schwarz,Armin,arminschwarz,1204127231796285441
Dilcher,Esther,estherdilcher,939092636165689345
Nolte,Jan Ralf,jan_nolte_afd,3408940048
Koswig,Peter,drkoswig,1404862670415831040
Preysing,Regina,rpreysing,828266607008968704
Aufenanger,Michael,michaelaufenan1,1326396523068989447
Gremmels,Timon,timon_gremmels,494809842
Nölke,Matthias,matthiasnoelke,800823849252229121
Mijatović,Boris,borismijatovic,718050209163509760
Roth,Michael,miro_spd,1114675538
Bach,Jorias,joriasbach,1356582371794038784
Tesfaiesus,Awet,awettesfaiesus,1035577771853049858
Leidig,Sabine,sabineleidig,257461232
Bischof,Anna-Maria,bischof_maria,1148118617998974978
Franke,Edgar Konrad Hartmut,frankeedgar,481393623
Hoffmann,Bettina Martha Lieselotte,bhoffmann_mdb,971040144420720641
Scheuch-Paschkewitz,Heidemarie Elfriede,heidedielinke,60636417
Heck,Stefan,stheck,2976064481
Bartol,Sören,soerenbartol,57293969
Schmidt,Julian,julian1schmidt,882947595253014529
Hannott,Niklas,niklas_hnt,1255921487275491331
Peter,Maximilian Philipp,mape92,1202151804315799553
Schmidt,Dagmar,dieschmidt,95905207
Wagner,Willi Karl,www_afd,826482146177073154
Krohn,Caroline,krohncaroline,1001969053
Ohnacker,Christiane,christi61278506,1422682964211666945
Braun,Helge Reinhold,hbraun,19108071
Schulz,Uwe,uwe_schulz_afd,19177808
Borhani,Behzad,behzadborhani,1205864068164259841
Al-Dailami,Ali Abass Yahya,ali_aldailami,989599708917137408
Brand,Michael Karl,michel_brandt_,1543429536
Hohmann,Martin,hohmannmdb,1159457070124605442
Zimmermann,Gabriela Gianina,gizimmermann,970087801
Wiegelmann,Johannes Thomas Maria,jowiegelmann,72550995
Müller,Bettina,betmueller,2443895924
Harder-Kühnel,Mariana Iris,m_harderkuehnel,815699423057637381
Rahn-Farr,Andrea Klara,arafa72,133666719
Kiesel,Maximilian Knut,kieselknut,1324434290516656130
Smith,Stella Luise,stellaluisesmi1,1416402072417849349
Koob,Markus Benjamin,koobmar,2664174617
Bokler,Alicia Maria,aliciabokler,1169302968023302144
Adler,Katja,katjadler,712941191
Tramnitz,Christian,ctramnitz,524709738
Pawlik,Natalie,natalie_pawlik,90452001
Lichert,Andreas John,andreaslichert,770959228450340865
Heidt,Peter,peterheidtfdp,1858621434
Rabanus,Martin Hermann,martinrabanus,46356949
Müller,Alexander,alexmuellerfdp,936235058792484864
Lührmann,Anna Kristina,annaluehrmann,1179715307440619522
Zill,Claus Valentin,valentinzill,1396735351583125505
Jung,Ingmar Ludwig,ingmar_jung,23296367
Ruf,Nadine,ruf_nadine,2638674329
Heidkamp,Erich Heinrich,erichheidkamp,1601738437
Schwalbach,Lucas,lucasschwalbach,141530638
Brehm,Uta,utabrehm,931935177156317184
Winter,Daniel,outback8612,1558727047
Leikert,Katja Isabel,kleikert,467381196
Oehl,Jan Lennard,leoehl,631226773
Statz,Henrik Jan,henrikstatz,48324016
Bocklet,Marcus,marcusbocklet,218965191
Altenkamp,Norbert Maria,naltenkamp,1319570576957149184
Seewald,Ilja-Kristin,iljaseewald,1098197162
Stark-Watzinger,Bettina,starkwatzinger,38228691
Schulz-Asche,Kordula Anna Paula,k_sa,17870195
Laslop,Paul,laslop_paul,1401539714310623239
Kaufmann,Axel,ortsvorsteher_,274661425
Zorn,Armand,armandzorn,1313187376378908675
Maiwald,Frank Michael,frankfuerffm,1418945384714485769
Düring,Deborah Saskia,deborahduering,1249088270128029696
Wißler,Janine Natalie,janine_wissler,143484553
Mansoori,Kaweh,el_kaweh_,2149926365
Cotar,Joana Eleonora,joanacotar,814970546366611457
Lieb,Thorsten Willibald,thorstenlieb,2411398358
Nouripour,Omid,nouripour,16674128
Kessler,Achim Dieter,achimkesslermdb,849567328899616768
Dehler,Stephan,stephan_dehler,56323510
Nitschke,Lars,lars6697,1001481067742793730
Cezanne,Jörg,joerg_cezanne,1391879604
Simon,Björn Manuel,bjoernsimon,93845554
Firat,Tuna,tunafirat,460004195
Thüne,Christin,christinthuene,1884137534
Strengmann-Kuhn,Wolfgang,w_sk,20840049
Buchholz,Christine,ch_buchholz,426403057
Buttlar,Julia Caroline Susanne,juliavonbuttlar,1242051253313601543
Wagner,Daniela,danywagner_da,874917828436078592
Turğut-Wenzel,Fırat,firatturgutw,1184257357930467333
Zimmermann,Jens,jenszspd,449619355
Zeuner,Mathias Gerald,mathiaszeunerx,1032272584497410048
Krämer,Philip,phikraemer,746767453951234048
Wenzl,Marlene,marlene28110,864839932745056256
Meister,Michael Günther,meister_schafft,34214048
Wingerter,Sven,svenwingerter,827995050
Mansmann,Till Berthold,tillmansmann,954049866283483136
Müller,Moritz,moritzamueller,781836726025281536
Bahl,Sascha,saschabahl,327577743
Pohl,Jürgen Hans,pohl_mdb,175071092
Bressem,Anne,annebressem,956402886744920064
Kurth,Patrick,patrick_kurth,19149087
Hirte,Christian,christianhirte,37642893
Renner,Martina Erika,martinarenner,68920005
Heuer,Justus,justus_heuer,1133264073020383232
Mohring,Mike,mikemohring,1041930259
Braga,Torben,torben_braga,787776888097927169
Knopf,Heiko,heikoknopf,427736692
Schipanski,Tankred,tschipanski,39938182
Bühl,Marcus,marcus_buehl,729360191263780867
Müller,Michael Christian,mueller_mc,4767566534
Ostermann,Stephan,greenostermann,1285143587781578754
Tillmann,Antje,antjetillmann,1082925763316367360
Schlösser,Sascha,schloesserra,112308891
Hennig-Wellsow,Susanne Marianne,susannehennig,60619687
Schneider,Carsten,schneidercar,96783215
Poloczek-Becher,Christian,c_poloczek,180333065
Göring-Eckardt,Katrin,goeringeckardt,626287930
Brandner,Stephan Günther,stbrandner,713361366858481664
Harras,Björn,bjornharras,494987341
Kaiser,Elisabeth,kaiser_spd,1425035358
Kaufmann,Michael Heinz,kaufmannafd,1595763756
Tempel,Frank,frank_tempel,730695836288585728
Martin,Susanne Margarete Christa,susanne_mrtn,2459542621
Maaßen,Hans-Georg,hgmaassen,843210563190771713
Treutler,Heinz Jürgen,jurgentreutler,1390035112457293827
Witt,Sandro,sandrowitt,37639653
Ullrich,Gerald,g_ullrichfdp,935456332655874048
Erben,Stephanie,stephanieerben,1147508358
Rüddel,Erwin Josef,erwin_rueddel,33071479
Diedenhofen,Martin,mdiedenhofen,785136227775344640
Bleck,Andreas,andreasbleckmdb,910878654535749632
Weeser,Sandra,sandra_weeser,858362895075340288
Heil,Mechthild,mechthildheil,974367631
Oster,Josef,josefoster,28089973
Rudolph,Thorsten,jethoru,540276932
Wieseler,Markus,markuswieseler,1052621358323003392
Antpöhler-Zwiernik,Oliver,ozwiernik,1401286008897949699
Maurer,Michael Franz Josef,micha_maurer,20509288
Bechberger,Harald,donnerwetterli,2743298733
Konrad,Carina,carina_konrad,874304935906729986
Joswig,Julian-Béla,joswigjulian,1049584156332707840
Klöckner,Julia,juliakloeckner,29858729
Weingarten,Joe,drjoeweingarten,811960243353780226
Höchst,Nicole,nicole_hoechst,3105025175
Benze,Christoph,chr_benze,3899440337
Steimle,Bianca Daniela,biancasteimle,1325088188843569152
Schnieder,Patrick,pschnieder,368334555
Werner,Lena,thereallenzii,38250199
Berlingen,Ralf Markus,berlingenralf,1367890365475414018
Eppers,Manuel,manueleppers,855923289784553477
Steier,Andreas,andreassteier,3236928208
Hubertz,Verena Ute,verenahubertz,3591923477
Palfner,Benjamin,benpalfnerfdp,1306929150733832193
Rüffer,Corinna Martina,crueffer,1524735194
Werner,Katrin,katrin_werner,224630872
Nick,Andreas,drandreasnick,49450039
Machalet,Tanja,tmachalet,23340320
Klein,Torsten Mario,torstenklein_eu,1593635527
Brosch,Natalie,broschnatalie,1373321248407748612
Baldy,Daniel,baldy_daniel,3305672686
Münzenmaier,Sebastian,s_muenzenmaier,863657874941255684
Sartorius,Klaus Friedrich Karl David,friedrichsarto1,1161993851252420608
Rößner,Tabea,tabearoessner,53351462
Metzler,Jan,janmetzler,995653004
Maier,David,buerodavidmaier,761649232990314500
Höferlin,Manuel,manuelhoeferlin,17483463
Engelke,Christian,chrengelke,958268845411786753
Kartes,Jens Torbjörn,kartesmdb,3188225915
Scheil,Stefan,scheildr,849550854529187841
Steiniger,Johannes Eberhard,josteiniger,83474160
Mackensen-Geis,Isabel Larissa,isabelmackensen,2322165327
Stephan,Thomas,afdstephan,1391282506649976832
Hofmann,Bianca Marina Anna,bianca_liberal,900035256509763586
Heller,Hannah,heller_hannah,1263028690553835520
Jung,Xaver,xaverjung,1313226002
Glöckner,Angelika,a_gloeckner,976421048
Gebhart,Thomas,thomasgebhart,51483238
Hitschler,Thomas,thomashitschler,292151515
Schattner,Bernd Hans,herbstbernd27,868931638486609922
Wissing,Volker,wissing,20593301
Lindner,Tobias,tobiaslindner,21197524
Schreiner,Tobias,tobiasschreine3,1062639192709173248
Heidrich,Annette Mathilde,heidrichspd,998949637
Bubendorfer-Licht,Sandra,bubendorferfdp,887343634647003136
Arz,Christoph,christoph_arz,984884306853187584
Lenz,Andreas,derlenzmdb,3635730797
Wagner,Magdalena Maria,lenawagner91,954042454994571264
Lochmüller,Christoph Johannes,lochmuellerch,1338523294581002249
Boegelein,Tobias,tobiasboegelein,4136151975
Mehltretter,Andreas,mehli,15820788
Huber,Johannes Josef,hubermdb,925286741921189888
Schmidt,Eva-Maria,schmidte70,3086891672
Eckert,Leon,leckert_,714742039
Staffler,Katrin,katrin_staffler,825019912083038208
Schrodi,Michael Georg,mischrodi,806975237766135813
Jäger,Florian,derjaeger_bt21,1044946853710753792
Bode,Carsten Ulrich Rudolf,bodeulrich,984495586870288385
Walter-Rosenheimer,Beate,beatewaro,47049428
Martin-Köppl,Ernestine,fiona27011960,792701182422683648
Brandl,Reinhard,reinhardbrandl,262730721
Ley,Theresa,th_ley,3303954801
Siebler,Joachim,josiebler,475735819
Post,Florian Michael Josef,florianpost,741532130
Bystron,Petr,petrbystronafd,810957560723505152
Föst,Daniel Wolfgang,dfoest,422569574
Wagner,Doris Else,d_wagner_muc,2230052774
Stefinger,Wolfgang Dieter,stefingermdb,4866955749
Rashid,Vaniessa,vaniessa_rashid,3995523039
Kuffer,Michael Thomas,michaelkuffer,4249342037
Roloff,Sebastian Jörg,sebroloff,482763399
Wiehle,Wolfgang,wolfgangwiehle,1003656299589132291
Sattelberger,Thomas Michael,th_sattelberger,1296544153
Schäfer,Jamila Anna,jamila_anna,859883348
Schamberger,Kerem Sascha Özgür,keremschamberg,754651485980459009
Pilsinger,Stephan Nikolaus,stephpilsinger,819914159915667456
Knorr-Köning,Seija Anne,seijakk,1125094588979580930
Podolay,Paul Viktor,paul_podolay,774308243124391937
Köhler,Lukas Otto,koehler_fdp,898597063444877313
Janecek,Dieter Gerald,djanecek,52024480
Gohlke,Nicole Stephanie,nicolegohlke,866425075
Hahn,Florian Peter,hahnflo,403735368
Rüger,Korbinian Nicholas,korbinianrueger,4258841536
Otten,Gerold Joachim,gerold_otten,774309860812918784
Hofreiter,Anton Gerhard,tonihofreiter,442678902
Ludwig,Daniela,daniludwigmdb,1019846605044936705
Schaberl,Pankraz,pankrazschaberl,1368895737262641152
Linnerer,Michael,linnerer,175507169
Broßart,Victoria,gruenevictoria,1287012554594824192
Gürpinar,Ates Nils,atesguerpinar,833040538370719746
Radwan,Alexander Gamal,alexanderradwan,2831760211
Bär,Karl,karlbaer,33172351
Utz,Erich Horst,utzerich,2962097523
Kießling,Michael,kiessling_mdb,730314294
Wegge,Carmen,carmenwegge,1086174715239116800
Hundesrügge,Britta,bhundesruegge,620131394
Neubauer,Martina,neubauermartina,1259557603
Ketterl,Simone,ket_simone,1390594419624194049
Kofler,Bärbel,baerbelkofler,193629792
Ehrenlechner,Wolfgang,wehrenlechner,40200397
Löwenbourg-Brzezinski,Elisabeth Victoria Sophie,loewenbourg,1356632555387314179
Erndl,Thomas Maximilian,terndl,2192588903
Hagl-Kehl,Rita Andrea,ritahaglkehl,836553428042141697
Al-Halak,Muhanad,halakmuhanad,1084016250324484096
Demmelhuber,Melanie Rosa,mel_demmelhuber,1236683857623232512
Oßner,Florian,florian_ossner,1294532364
Hogenkamp,Vincent,vfbla,804382452206759939
Fritz,Elena,elena__fritz,1226479367787859974
Bauer,Nicole Anna Elisabeth,nicole_ae_bauer,1061873979760263168
Krieger,Maria Katharina Elisabeth,mariakriegerin,47350017
Lackerbauer,Veronika,vlackerbauer,4908944397
Scheuer,Andreas Franz,andreasscheuer,50315139
Auer,Stefanie Maria,stefanie_m_auer,1119853446327304192
Ilsanker,Josef,jilsanker,895290584939864065
Eder,Severin Johannes Antonin,severineder,1150846270535327744
Protschka,Stephan,afdprotschka,1412287272
Schönberger,Marlene Edeltraud,lime_green_leni,314230960
Rainer,Alois Georg Josef,aloisrainer,1310491780618555396
Schötz,Dennis Thomas,dennis_schoetz,714027805315620864
Miazga,Corinna,corinnamiazga,868762469115846657
Grundl,Erhard,erhard_grundl,951773879822880768
Hierl,Susanne,hierlsusanne,1352742562260529154
Boehringer,Peter Christian Pascal,peterboehringer,99268600
Gründer,Nils Jan,nilsgruender,2741534691
Aumer,Peter,peteraumer,348460907
Lechte,Ulrich,ulrichlechte,988765113606918144
Schmidt,Stefan,schmidt_mdb,930725836482928640
Schreiber,Eva-Maria Elisabeth,mdb_schreiber,940585440746328064
Englhardt-Kopf,Martina,englhardtkopf,1335676869061062662
Schieder,Marianne,m_schieder,1306503986791448576
Pöschl,Wolfgang,drposchl,1367070260071985154
Tegtmeier,Ines,inestegtmeier,1398955077243740162
Winklmann,Tina,tinawinklmann,1409889740665540620
Grötsch,Ulrich Peter,uligroetsch,867351565757239296
Weidner,Christian Claus,ch_weidner,1381592199826132992
Silberhorn,Thomas,silberhornmdb,951489275312443392
Schwarz,Andreas,schwarz_mdb,2226815116
Badum,Lisa Hildegard,badulrichmartha,282195399
Jaegers,Jan,jaegersjan,993881165592489984
Launert,Silke,drlaunert,4926993244
Kramme,Anette,anettekramme,1461705757
Peterka,Tobias Matthias,tobiasmpeterka,2496104640
Hacker,Thomas,hacker_fdp,89209507
Geissler,Jonas Alexander Tecumseh,geisslerjonas,3375074608
Peter,Jens-Uwe,jensuwepeter,882427358
Wagner,Johannes,yoohannes,837741064052215815
Nürnberger,Jörg Mathias,jorgnurnberger,1354090527898148865
Kögler,Gerd Siegfried,afdgerd,999659930201313281
Wölfel,Gabriel,gabrielwolfel,1178606980786724867
Reusch,Ralf,reuschralf,1377345272657874948
Scheuenstuhl,Harry Herbert,scheuenstuhl,381974354
Dinar,Erkan,erkandinar,737226036904120320
Müller,Stefan,smuellermdb,17960911
Stamm-Fibich,Martina Margarete,stamm_fibich,4017796049
Prietz,Tina Luisa,tinaprietz,1232740414374981633
Winkler,Tobias,tobiaswinkler_,2811445750
Träger,Carsten Dietmar,carstentraeger,3577737256
Klaukien,Thomas Adolf,tklaukien,1036225419912114176
Bayer,Daniel Rene,real_dbayer,908656039427547136
Kekeritz,Uwe Adolf Otto,uwekekeritz,46480553
Ruttmann,Hermann,hermannruttmann,1027478119354183680
Brehm,Sebastian,brehm_innbgnord,904304932257492992
Heinrich,Gabriela,gaheinrich,296121556
Sichert,Martin Johannes,martin_sichert,918405860862382082
Hessel,Katja,fdp_hessel,107806591
Ganserer,Markus (Tessa),gansgruen,41365109
Schüller,Titus,titusschueller,963499263639552002
Frieser,Michael,michaelfrieser,4577700622
Preißinger,Marco Ramon,marco_prei,825491107953987584
Müller,Sascha,saschamuller,52793798
Flach Gomez,Kathrin,kathigraphie,1147619256
Edelhäußer,Ralph,edelhaeusser,152339060
Plobner,Jan Heinz Stefan,janplobner,1027976898641633281
Lütke,Kristine,kristine_lutke,875431735256920065
Lindholz,Andrea,andrealindholz,1446031532
Wüst,Tobias Rainer,tobiaswuest,1321595995004784645
Klein,Karsten,mdbklein,995228494023086080
Wagener,Niklas,wagenerniklas,1166603377
Bär,Dorothee Gisela Renate Maria,dorobaer,140821364
Dittmar,Sabine,dittmarsabine,1872648764
Schenk Graf von Stauffenberg,Maximilian Karl,stauffenbergkar,1105175893570437123
Rottmann,Manuela,manuelarottman,984735466783232000
Scheeres,Claus,clausscheeres,1354005894674186242
Hoffmann,Alexander,hoffmann_mdb,1193816843519172608
Rützel,Bernd Ferdinand,ruetzelbernd,1113004743733993472
Jentzsch,René,jentzschrene,1103912279077076993
Weisgerber,Anja,anjaweisgerber,133770069
Hümpfer,Markus Klaus,humpfermarkus,709129502870409217
Lommatzsch,Nicolas,nicolommatzsch,3373842209
Ernst,Klaus Friedrich,ernst_klaus,64994645
Altenhöner,Freya,faltenhoner,1331692466030964743
Ullmann,Andrew John,ullmannmdb,609972369
Hansen,Johannes Sebastian,gruen_seb,1934969178
Barrientos Krauss,Simone Anita,sbarrientosk,176104376
Ullrich,Volker Michael,volkerullrich,28446356
Bahr,Ulrike Renate Martina,mdb_ulrike_bahr,724565991104110592
Meyer,Alexander,ra_alexmeyer,4059930622
Hintermayr,Frederik Maximilian,hintermayrfred,869930784874004480
Durz,Hansjörg,hansjoerg_durz,1662533040
Kraft,Rainer Detlef,dr_rainer_kraft,804064797977444352
Krause,Matthias,mkrause2021,1317217784242278401
Lindauer,Stefan Christian Xaver,lindauerstefan,1215245011761147905
Lange,Ulrich,ulrichlange,68172699
Schmid,Christoph Florian,kratermensch,2615401245
Brunner,Karl Heinz,brunnerganzohr,882929865535705088
Mannes,Gerd Michael,gerdmannesafd,983697909270155264
Hillmann-Richter,Anke,ankehillmann,1100142805127696393
Deligöz,Ekin,ekindeligoez,22125770
Holderied,Martin Basil,martinholderied,2356752361
Thomae,Stephan,stephanthomae,75005687
Bandte,Pius,pbandte,1411720311360442370
Leenders,Regina,leendersregina,1358383627327983617
Fackler,Kai Fabian,facklerkai,1412941066593054722
Ferschl,Susanne,susanneferschl,1096063189249331201
Kaufmann,Stefan,stefankaufmann,51752254
Özdemir,Cem,cem_oezdemir,19108766
Skudelny,Judith Sandra,judithskudelny,948958759560376320
Spaniel,Dirk,dirkspaniel,810537151729373184
Riexinger,Bernd Karl,b_riexinger,849012308
Mörseburg,Maximilian Rick,maxmoerseburg,270435074
Perc,Dejan,dejanperc,22455076
Christmann,Anna Maria,annachristmann,1617177360
Biadacz,Marc Josef,mbiadaczmdb,935815000006053888
Hostert,Jasmina,jasminahostert,817937942
Bacherle,Tobias Björn,tbbacherle,2835233692
Toncar,Florian,florian_toncar,17462171
Frohnmaier,Markus-Cornel,frohnmaier_afd,4130621842
Grübel,Markus,gruebelmdb,796691290016583680
Schäfer,Sebastian,sebastian_es_,3367452609
Langer,Robert,robertlangerofi,1089570291657990145
Hennrich,Michael,michaelhennric2,1132260527378489345
Schmid,Nils Hermann,nilsschmid,83795057
Gastel,Matthias,matthiasgastel,727782559
Alt,Renata,renataalt_mdb,1001837201276235777
Sahin,Hüseyin,hueseyinhuman,334704353
Kruse,Viktoria,vikkruse,1265693449
Olsson,Jan,_jan_olsson_,780468953026035712
Münz,Volker,volker_munz,878615716152446976
Seiter,Stephan,stseiter,743355360367370240
Braun,Jürgen Friedrich,juergenbraunafd,917756296555892736
Pantisano,Luigi,luigipantisano,3128634149
Bilger,Steffen Rudi,steffenbilger,23925041
Karaahmetoǧlu,Macit,macit_spd,574582030
Detzer,Sandra,detzer_sandra,797777115689132032
Martin,Oliver Wolfgang Hermann,olivermartin_lb,1301692266592047107
Hess,Martin Alexander,martin_hess_afd,872663038805016576
Frisch,Andreas,andi_frisch,46901618
Gramling,Fabian Benedikt Meinrad,fabiangramling,738358276560150532
Schweizer,Lars Maximilian,larsschweizer,1120961463613558784
Distl,Marcel Rudolf,mdistl,406425437
Jongen,Marc Stephan,marc_jongen,4121053541
Throm,Alexander Richard,alexander_throm,829056811974144001
Juratovic,Josip,josip_juratovic,738731811380076544
Steidel,Isabell Charlotte,isabellsteidel,1354075304185233411
Link,Michael Georg,michael_g_link,3034092143
Stetten,Christian Alexander,cvstetten,1334019378
Leiser,Kevin,klhohenlohe,1365771819861557251
Ebner,Harald,ebner_sha,52431948
Abel,Valentin Christian,valentin_c_abel,1699863337
Schiele,Cedric Nils,cedric_schiele,1324446707527143424
Gräßle,Ingeborg Gabriele,inge_graessle,429065822
Schwab,Tim-Luka,tim_schwab_spd,1347644303120674816
Lang,Ricarda,ricarda_lang,1405886484
Kiesewetter,Roderich,rkiesewetter,42698498
Breymaier,Leni,lenibreymaier,748453543632330752
Stumpp,Margit Theresia,margit_stumpp,943082490482262016
Kriesch,Arian,freiheitsfreund,14666567
Czada,Jan-Hendrik Willi Matthias,jhczada,2782377139
Steckbauer,Tim,realcomradefox,1312738465885368320
Marvi,Parsa,parsamarvi,973597518
Mayer,Zoe,zoe_gruene,1248662696318418950
Theurer,Michael Alexander,eutheurer,1108382916
Bernhard,Marc Albert,marcbernhardafd,805823950253150208
Brandt,Michel,michel_brandt_,1543429536
Zippelius,Nicolas Benjamin,nzippelius,1560104953
Diebold,Patrick Michael,padi_winchester,346072892
Grässer,Sebastian Andrè,gruene_seb,1159076748555931654
Rupp,Jörg Alfred,joergrupp,22049748
Whittaker,Kai Thorsten,kai_whittaker,2479436480
Katzmarek,Gabriele,gabykatzmarek,3017602065
Gönner,Thomas,thomasgoenn,817762065356099586
